Hour,BE,DE,DK,ES,FI,FR,GR,HR,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,UK
2822,4309.369586491604,25608.010384247485,2617.122191538683,2190.123116148045,787.7329954912409,833.5566297960047,94.14913800568996,234.56095535393024,4751.688048706149,5487.243064492805,765.4106362933618,462.1411318459716,15714.038646372332,249.02443359035928,276.20503604018137,1121.772920303238,0.0,33.17020602755208,24989.491619559194
2823,4265.287656364032,25334.973152302013,2580.9546097890534,2252.8170869718556,772.8681054871848,998.6272767716599,220.87748028121018,203.28665330303443,4766.204371595701,5151.545829219665,265.16267091885453,408.1021386273343,15711.073469965047,235.59384255120662,273.787516320645,1012.8426989065791,0.0,21.476031085982463,23677.233708396827
2824,4289.601760953199,24919.875444691334,2504.1106243327977,2270.6894112100877,770.4243164789692,1087.6403157056156,403.4481031320267,215.09792429063876,4771.6638403576935,5267.464421493677,103.35902110521583,337.3059135573849,15710.481140306345,322.93331762497985,77.28922884288306,946.8695656223864,0.0,13.46874991940088,23188.508524845012
2825,4289.603244709953,25014.112419737492,2620.211873875761,2256.918559551233,772.0682713570408,1165.345110323919,572.8181334156267,232.18568843733092,4773.049077624945,5787.009112807406,52.5520701013686,276.917175031406,15708.497974697764,478.48434183781274,26.329112782428314,954.072682618933,0.0,12.8356115172537,22522.77603169695
2826,4111.462378868477,24690.575070536728,2733.8636649072296,2241.5155761503106,778.8362294086957,1389.9230302120254,464.5331598658156,256.29781003951956,4773.445912454826,6151.654958803015,6.987541685203659,235.08711969152264,15691.43003395911,594.5246014072728,248.81496315265673,980.9005808022994,2.0196258533272,26.1241724451816,22138.259245889545
2827,3650.800060948173,23457.883640569136,2584.6379117160313,2229.0805548134826,792.2142549699819,1778.8635576590336,342.8667352133075,259.111620072203,4773.2691204466355,6312.7377013434625,0.0,211.9686736718629,15646.709774152558,711.6047616241174,964.9585917384273,992.2514277890858,16.3451242961011,54.91787629809942,21157.567226292074
2828,3063.3688255035827,22131.790616573137,2414.4805001881805,2196.6014667651975,824.585651609193,2042.5561394851547,195.58412874113563,233.2406420023087,4768.701932047816,6600.322794241242,0.0,202.47633083926576,15479.95074260091,774.692174443741,2249.5383807805965,990.8245705006789,50.1512311549972,116.42299182531485,20042.566573688746
2829,2330.237331046826,19957.871177961595,2340.4895539746904,2169.4794526114993,878.6874358838796,2225.2511651683894,423.04395192281834,254.1699783420762,4744.550043778916,6989.8445143359595,0.0,202.9416781927241,15041.462508906014,745.2574266663233,3417.293323769019,981.0693300604504,84.5402748713374,219.07727325958004,17903.9484814672
2830,1447.6809305679965,17355.96663808264,2274.787559625984,2162.1465910691095,909.6176464857537,2374.104801856773,865.9048295312277,371.9604362808391,4691.5917696564275,6951.074647986454,0.90691548905174,207.6650009942885,13960.404693140366,647.8644900701191,3556.281916043132,992.4556217033868,139.23971720353072,246.50879414919694,16124.639564642745
2831,821.0985022581048,20989.940814117475,2591.6593260739646,2057.82030097604,904.8345778173956,2530.6259982612673,1098.0198991253774,340.40744639578963,4742.603809918491,7172.087184065981,0.0,193.19461918637677,11754.967007942741,648.1797387768609,2577.4792181324315,954.1354398496354,179.6252599344639,182.00145574420864,14390.303785943755
2832,377.53382109130615,20387.165230749553,2571.2333030645805,2013.710184390988,883.8411793181655,2361.7391361692285,963.4376597238859,294.62004868150905,4703.33356412525,7199.023141628915,0.0,171.1349704030354,9294.470483181738,564.6103221068036,2532.335657723786,889.4699048791103,231.5353336049526,165.51344985659046,13166.248267040384
2833,168.26107740970937,21529.55779244799,2554.9713405771827,1960.4787808362382,863.622506075187,2310.804166314708,846.4011043992078,288.22604774345166,4557.7521695629575,7277.760611352449,0.0,146.87755686148597,7954.002142384153,501.30879788672564,1913.3354113674297,845.5869300441474,264.3305221791758,136.19460983815404,12181.919756535326
2834,72.38035252975618,22549.273324308255,2467.5153156469505,1887.6727161865845,851.6115981766628,2339.336510416882,747.6000599768304,257.85022637798477,4400.178688713674,7087.497502704804,0.0,118.64166954956484,6600.013394479022,446.89038287206887,1324.0614761697186,741.875948615527,323.28600368386253,100.06130335722024,11072.351645353743
2835,32.83317106621264,23032.842799103364,2423.6638994900686,1854.6552488949028,851.4230028349946,2496.3426951372617,836.3331568572779,267.230921769099,4304.139948471284,7350.324881421241,0.0,105.98954777138984,5396.385768929653,367.93532848217217,1052.8621280688512,541.5965380786846,457.7083705240894,89.70426477567138,10461.310067809976
2836,21.0,22970.427246638217,2405.4744597144036,1856.0303659651292,854.2668847370503,2662.156231235134,1004.0073217135559,343.0936837591137,4277.770098929413,7357.50320800227,0.0,98.25870050959774,4568.383210501299,330.0646372895616,896.2075016612046,379.2586286943864,553.9109096749927,90.10198516420512,10155.487452339077
2837,5.6000000000000005,22744.466209735194,2346.0873082484723,1864.8093062424985,858.5375960731781,2597.545970407966,1294.5138643197363,433.77157356440784,4184.5736408541225,6839.99059215025,0.0,109.80991486098104,3767.7304558016936,311.5348991133929,711.2146816471032,271.398719647929,712.4300185588779,106.95753481200684,9845.889624893362
2838,26.180000000000003,22903.003118866563,2266.7858752505044,1865.6329273581905,860.52102228807,2620.972129053112,1690.1319540530571,458.9167185876646,3933.043186283219,6506.486591252048,19.930232875993298,139.7498303869024,3770.748659677308,292.4403340469489,510.65540131569895,197.5756524643464,860.4689070236413,111.66690749341637,9517.458599117885
2839,70.98,22667.4026850506,2251.1258866711332,1878.9873353912208,856.1259477948889,2511.224217820914,2029.803974720665,470.98753638389127,3578.0093681523813,6090.995370625066,138.92423763069152,185.24802669090428,3920.547860242289,245.55620356237233,295.7917397939853,132.5894059539488,945.4428781868544,102.81252356529079,9096.593710151144
2840,97.16000000000001,21705.94048221421,2306.430361702616,1880.4667427177992,848.8247490096444,2281.253136697104,2065.9878153613163,465.6889532424176,3211.356927029345,5380.037337400276,75.16404998343513,210.50648086942144,3906.258530337749,195.81940229667148,358.04047210661554,78.3303203806008,949.8580864067092,93.16255553646066,9429.0028903569
